0  , 0  , 0  ,
0  , 0  , 0  ,
203, 203, 203,
207, 207, 207,
211, 211, 211,
215, 215, 215,
219, 219, 219,
223, 223, 223,
227, 227, 227,
231, 231, 231,
235, 235, 235,
239, 239, 239,
243, 243, 243,
247, 247, 247,
251, 251, 251,
255, 255, 255,
88 , 99 , 94 ,
98 , 109, 104,
108, 119, 114,
118, 129, 124,
128, 139, 134,
138, 149, 144,
148, 159, 154,
158, 169, 164,
168, 179, 174,
178, 189, 184,
188, 199, 194,
198, 209, 204,
208, 219, 214,
218, 229, 224,
228, 239, 234,
238, 249, 244,
1  , 1  , 1  ,
2  , 2  , 2  ,
4  , 12 , 4  ,
14 , 22 , 14 ,
24 , 32 , 24 ,
34 , 42 , 34 ,
44 , 52 , 44 ,
54 , 62 , 54 ,
64 , 72 , 64 ,
74 , 82 , 74 ,
84 , 92 , 84 ,
94 , 102, 94 ,
104, 112, 104,
114, 122, 114,
124, 132, 124,
134, 142, 134,
122, 0  , 0  ,
132, 0  , 0  ,
142, 0  , 0  ,
152, 0  , 0  ,
162, 0  , 0  ,
172, 4  , 4  ,
182, 14 , 14 ,
192, 24 , 24 ,
202, 34 , 34 ,
212, 44 , 44 ,
222, 54 , 54 ,
232, 64 , 64 ,
242, 74 , 74 ,
252, 84 , 84 ,
255, 94 , 94 ,
255, 104, 104,
119, 114, 0  ,
129, 124, 0  ,
139, 134, 0  ,
149, 144, 1  ,
159, 154, 2  ,
169, 164, 3  ,
179, 174, 4  ,
189, 184, 9  ,
199, 194, 19 ,
209, 204, 29 ,
219, 214, 39 ,
229, 224, 49 ,
239, 234, 59 ,
249, 244, 69 ,
252, 253, 79 ,
255, 255, 89 ,
168, 114, 100,
178, 124, 110,
188, 134, 120,
198, 144, 130,
208, 154, 140,
218, 164, 150,
228, 174, 160,
238, 184, 170,
240, 194, 180,
242, 204, 190,
245, 214, 200,
247, 224, 210,
249, 234, 220,
251, 244, 230,
253, 250, 240,
255, 255, 250,
173, 104, 1  ,
183, 114, 2  ,
193, 124, 3  ,
203, 134, 4  ,
213, 144, 5  ,
223, 154, 6  ,
233, 164, 7  ,
236, 174, 8  ,
240, 184, 18 ,
242, 194, 28 ,
